*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CornholeKeep2
*Date=06:55:14
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;53.1368;-40.292;0;Bottom;Copper Fill45
2;;;4.1148;-16.2128;0;Bottom;Copper Fill22
3;;;32.6136;-29.8653;0;Bottom;Copper Fill34
4;;;6.731;-7.3355;0;Bottom;Copper Fill38
5;;;21.0185;-46.9087;0;Bottom;Copper Fill16
6;;;21.0185;-36.0629;0;Bottom;Copper Fill51
7;;;41.6028;-30.5015;0;Bottom;TXT3
8;;;3.2761;-55.4883;0;Bottom;Hole1
9;;;4.1148;-25.7124;0;Bottom;Copper Fill14
10;;;27.4066;-11.0185;0;Bottom;Copper Fill9
11;;0805 [SMD];3.03111;-5.95824;0;Top;STATUS
12;;;27.4066;-5.9385;0;Bottom;Copper Fill11
13;;;4.5212;-2.8524;0;Bottom;Copper Fill55
14;;;21.0185;-45.1307;0;Bottom;Copper Fill17
15;;;62.2681;-33.5483;0;Bottom;Copper Fill58
16;;;61.4172;-32.672;0;Bottom;Copper Fill60
17;;;30.229;-53.0515;0;Bottom;TXT1
18;;;20.9736;-47.9779;0;Bottom;TXT3
19;;;11.2014;-17.9781;0;Bottom;Copper Fill4
20;;;4.1148;-35.212;0;Bottom;Copper Fill25
21;;;51.6289;-51.2834;-90;Bottom;TXT3
22;;;59.7281;-56.4083;0;Bottom;Copper Fill56
23;;;23.6887;-47.9779;0;Bottom;TXT3
24;;;10.414;-7.3228;0;Bottom;Copper Fill53
25;;;53.1368;-40.292;0;Bottom;Copper Fill19
26;;;59.9694;-29.0017;0;Bottom;Copper Fill1
27;;;2.3368;-35.212;0;Bottom;Copper Fill48
28;;;21.0185;-34.3865;0;Bottom;Copper Fill26
29;;;59.7281;-54.6557;0;Bottom;Copper Fill29
30;;;56.9115;-52.883;0;Bottom;TXT2
31;;;19.3148;-55.0535;0;Bottom;TXT1
32;;;27.4066;-8.4785;0;Bottom;Copper Fill10
33;;;17.0407;-38.7627;0;Bottom;TXT3
34;;;59.7911;-32.6283;0;Bottom;CPart4
35;;;62.2681;-31.8211;0;Bottom;Copper Fill31
36;;;27.4066;-22.4739;0;Bottom;Copper Fill2
37;;;20.1168;-46.0324;0;Bottom;Copper Fill44
38;;;13.0559;-53.1358;0;Bottom;TXT1
39;;THT;54.0761;-40.2483;0;Bottom;Ext Reg
40;;;23.5966;-21.1785;0;Bottom;Copper Fill5
41;;THT;3.27611;-25.6433;0;Bottom;SW2
42;;THT;51.5361;-48.5033;-90;Bottom;Source
43;;;21.0185;-45.1307;0;Bottom;Copper Fill43
44;;;76.1746;-29.0017;0;Bottom;Copper Fill36
45;;THT;3.27611;-16.1183;0;Bottom;SW1
46;;;62.2732;-52.8339;0;Bottom;TXT2
47;;;116.306;-55.4883;0;Bottom;Hole4
48;;;4.0005;-2.3063;0;Bottom;Copper Fill54
49;;;27.4066;-3.7287;0;Bottom;Copper Fill12
50;;;24.384;-35.212;0;Bottom;Copper Fill50
51;;;2.3368;-35.212;0;Bottom;Copper Fill24
